run_time,date,home_team,away_team,kickoff,venue_city,p_base,p_market,wet,notes
2026-07-15 18:20,2026-07-16,penrith-panthers,brisbane-broncos,2026-07-16T09:50:00Z,Sydney,0.8204,0.7931,0,5
2026-07-15 18:20,2026-07-17,cronulla-sutherland-sharks,newcastle-knights,2026-07-17T08:00:00Z,Sydney,0.7544,0.6751,1,2
2026-07-15 18:20,2026-07-17,sydney-roosters,melbourne-storm,2026-07-17T10:00:00Z,Sydney,0.6952,0.743,1,2
2026-07-15 18:20,2026-07-18,canberra-raiders,south-sydney-rabbitohs,2026-07-18T05:00:00Z,Canberra,0.5796,0.5,0,3
2026-07-15 18:21,2026-07-18,warriors,st-george-illawarra-dragons,2026-07-18T07:35:00Z,Auckland,0.8216,0.7931,0,3
2026-07-15 18:21,2026-07-18,canterbury-bankstown-bulldogs,wests-tigers,2026-07-18T09:35:00Z,Sydney,0.5689,0.6341,0,2
2026-07-15 18:21,2026-07-19,gold-coast-titans,manly-warringah-sea-eagles,2026-07-19T04:00:00Z,Gold Coast,0.1957,0.391,1,1
2026-07-15 18:22,2026-07-19,dolphins,north-queensland-cowboys,2026-07-19T06:05:00Z,Brisbane,0.6497,0.5867,0,2
2026-07-15 18:47,2026-07-16,penrith-panthers,brisbane-broncos,2026-07-16T09:50:00Z,Sydney,0.8209,0.7931,0,5
2026-07-15 18:47,2026-07-17,cronulla-sutherland-sharks,newcastle-knights,2026-07-17T08:00:00Z,Sydney,0.7547,0.6751,1,2
2026-07-15 18:47,2026-07-17,sydney-roosters,melbourne-storm,2026-07-17T10:00:00Z,Sydney,0.6943,0.743,1,2
2026-07-15 18:47,2026-07-18,canberra-raiders,south-sydney-rabbitohs,2026-07-18T05:00:00Z,Canberra,0.5792,0.5,0,3
2026-07-15 18:47,2026-07-18,warriors,st-george-illawarra-dragons,2026-07-18T07:35:00Z,Auckland,0.8203,0.7931,0,3
2026-07-15 18:47,2026-07-18,canterbury-bankstown-bulldogs,wests-tigers,2026-07-18T09:35:00Z,Sydney,0.5692,0.6341,0,2
2026-07-15 18:48,2026-07-19,gold-coast-titans,manly-warringah-sea-eagles,2026-07-19T04:00:00Z,Gold Coast,0.1961,0.391,0,1
2026-07-15 18:48,2026-07-19,dolphins,north-queensland-cowboys,2026-07-19T06:05:00Z,Brisbane,0.6498,0.5867,0,2
2026-07-15 19:30,2026-07-16,penrith-panthers,brisbane-broncos,2026-07-16T09:50:00Z,Sydney,0.8209,0.7931,0,5
2026-07-15 19:30,2026-07-17,cronulla-sutherland-sharks,newcastle-knights,2026-07-17T08:00:00Z,Sydney,0.7547,0.6751,1,2
2026-07-15 19:30,2026-07-17,sydney-roosters,melbourne-storm,2026-07-17T10:00:00Z,Sydney,0.6943,0.743,1,2
2026-07-15 19:30,2026-07-18,canberra-raiders,south-sydney-rabbitohs,2026-07-18T05:00:00Z,Canberra,0.5792,0.5,0,3
2026-07-15 19:30,2026-07-18,warriors,st-george-illawarra-dragons,2026-07-18T07:35:00Z,Auckland,0.8203,0.7931,0,3
2026-07-15 19:31,2026-07-18,canterbury-bankstown-bulldogs,wests-tigers,2026-07-18T09:35:00Z,Sydney,0.5692,0.6341,0,2
2026-07-15 19:31,2026-07-19,gold-coast-titans,manly-warringah-sea-eagles,2026-07-19T04:00:00Z,Gold Coast,0.1961,0.391,1,1
2026-07-15 19:31,2026-07-19,dolphins,north-queensland-cowboys,2026-07-19T06:05:00Z,Brisbane,0.6498,0.5867,0,2
2026-07-16 18:32,2026-07-16,penrith-panthers,brisbane-broncos,2026-07-16T09:50:00Z,Sydney,0.8209,0.7619,0,5
2026-07-16 18:32,2026-07-17,cronulla-sutherland-sharks,newcastle-knights,2026-07-17T08:00:00Z,Sydney,0.7551,0.6751,1,2
2026-07-16 18:32,2026-07-17,sydney-roosters,melbourne-storm,2026-07-17T10:00:00Z,Sydney,0.6943,0.743,1,2
2026-07-16 18:32,2026-07-18,canberra-raiders,south-sydney-rabbitohs,2026-07-18T05:00:00Z,Canberra,0.5792,0.5,0,3
2026-07-16 18:32,2026-07-18,warriors,st-george-illawarra-dragons,2026-07-18T07:30:00Z,Auckland,0.8203,0.7931,0,3
2026-07-16 18:33,2026-07-18,canterbury-bankstown-bulldogs,wests-tigers,2026-07-18T09:35:00Z,Sydney,0.5692,0.6341,0,2
2026-07-16 18:33,2026-07-19,gold-coast-titans,manly-warringah-sea-eagles,2026-07-19T04:00:00Z,Gold Coast,0.1961,0.391,1,1
2026-07-16 18:33,2026-07-19,dolphins,north-queensland-cowboys,2026-07-19T06:05:00Z,Brisbane,0.6498,0.5806,0,2
2026-07-17 13:56,2026-07-17,cronulla-sutherland-sharks,newcastle-knights,2026-07-17T08:00:00Z,Sydney,0.7536,0.6878,1,1
2026-07-17 13:56,2026-07-17,sydney-roosters,melbourne-storm,2026-07-17T10:00:00Z,Sydney,0.6943,0.7409,1,0
2026-07-17 13:56,2026-07-18,canberra-raiders,south-sydney-rabbitohs,2026-07-18T05:00:00Z,Canberra,0.5768,0.5,0,0
2026-07-17 13:56,2026-07-18,warriors,st-george-illawarra-dragons,2026-07-18T07:35:00Z,Auckland,0.8203,0.7931,0,1
2026-07-17 13:56,2026-07-18,canterbury-bankstown-bulldogs,wests-tigers,2026-07-18T09:35:00Z,Sydney,0.5694,0.6341,0,1
2026-07-17 13:56,2026-07-19,gold-coast-titans,manly-warringah-sea-eagles,2026-07-19T04:00:00Z,Gold Coast,0.1961,0.391,1,1
2026-07-17 13:56,2026-07-19,dolphins,north-queensland-cowboys,2026-07-19T06:05:00Z,Brisbane,0.6506,0.5685,0,0
