run_date,date,home_team,away_team,p_base,p_retadj,p_wet,forecast_rain_mm,actual_home_win,p_market,p_blend,superseded_on
2026-09-01,2026-09-03,canterbury-bankstown-bulldogs,brisbane-broncos,0.7065,0.7044,0.7182,0.0,,0.7152,0.7109,2026-09-02 21:39
2026-09-01,2026-09-04,gold-coast-titans,dolphins,0.2141,0.2198,0.2022,0.0,,0.2322,0.223,2026-09-02 21:39
2026-09-01,2026-09-04,south-sydney-rabbitohs,sydney-roosters,0.4087,0.3989,0.3997,0.0,,0.8642,0.6771,2026-09-02 21:39
2026-09-01,2026-09-05,warriors,manly-warringah-sea-eagles,0.6805,0.6793,0.6989,0.0,,0.7259,0.7037,2026-09-02 21:39
2026-09-01,2026-09-05,north-queensland-cowboys,canberra-raiders,0.5814,0.5806,0.5849,0.0,,0.6188,0.6003,2026-09-02 21:39
2026-09-01,2026-09-05,cronulla-sutherland-sharks,melbourne-storm,0.5724,0.5758,0.5874,0.0,,0.3009,0.4315,2026-09-02 21:39
2026-09-01,2026-09-06,st-george-illawarra-dragons,parramatta-eels,0.3535,0.3567,0.3473,,,0.4404,0.3962,2026-09-02 21:39
2026-09-01,2026-09-06,penrith-panthers,wests-tigers,0.8692,0.8673,0.881,0.0,,0.8642,0.8667,2026-09-02 21:39
2026-09-08,2026-09-11,south-sydney-rabbitohs,newcastle-knights,0.6512,0.6503,0.6605,0.4,,0.669,0.6602,2026-09-09 20:55
2026-09-08,2026-09-12,warriors,dolphins,0.4945,0.4941,0.4984,1.0,,0.5914,0.5433,2026-09-09 20:55
2026-09-08,2026-09-12,cronulla-sutherland-sharks,north-queensland-cowboys,0.6863,0.6863,0.6932,0.6,,0.6556,0.6711,2026-09-09 20:55
2026-09-08,2026-09-13,penrith-panthers,sydney-roosters,0.6177,0.6162,0.6208,0.0,,0.7215,0.6717,2026-09-09 20:55
2026-09-09,2026-09-11,south-sydney-rabbitohs,newcastle-knights,0.6465,0.6451,0.6565,0.0,,0.669,0.6578,2026-09-11 11:03
2026-09-09,2026-09-12,cronulla-sutherland-sharks,north-queensland-cowboys,0.7401,0.7401,0.7477,0.0,,0.6572,0.7003,2026-09-11 11:03
2026-09-09,2026-09-12,warriors,dolphins,0.4795,0.479,0.4835,0.9,,0.5914,0.5359,2026-09-11 11:03
2026-09-09,2026-09-13,penrith-panthers,sydney-roosters,0.6955,0.6938,0.702,0.0,,0.7215,0.7087,2026-09-11 11:03
2026-09-11,2026-09-12,cronulla-sutherland-sharks,north-queensland-cowboys,0.7401,0.7401,0.7477,0.0,,0.6572,0.7003,2026-09-12 11:06
2026-09-11,2026-09-12,warriors,dolphins,0.4795,0.479,0.4835,0.7,,0.5914,0.5359,2026-09-12 11:06
2026-09-11,2026-09-13,penrith-panthers,sydney-roosters,0.6955,0.6938,0.702,0.0,,0.7046,0.7001,2026-09-12 11:06
2026-09-12,2026-09-13,penrith-panthers,sydney-roosters,0.6955,0.6938,0.7019,0.0,,0.7046,0.7,2026-09-13 10:57
