city,date,rain_mm
sydney,2009-03-01,0.0
sydney,2009-03-02,0.0
sydney,2009-03-03,0.0
sydney,2009-03-04,0.5
sydney,2009-03-05,0.0
sydney,2009-03-06,0.0
sydney,2009-03-07,0.0
sydney,2009-03-08,5.6
sydney,2009-03-09,7.6
sydney,2009-03-10,0.3
sydney,2009-03-11,1.3
sydney,2009-03-12,0.0
sydney,2009-03-13,1.6
sydney,2009-03-14,2.0
sydney,2009-03-15,4.4
sydney,2009-03-16,0.0
sydney,2009-03-17,0.0
sydney,2009-03-18,0.0
sydney,2009-03-19,0.0
sydney,2009-03-20,0.0
sydney,2009-03-21,0.2
sydney,2009-03-22,0.0
sydney,2009-03-23,0.0
sydney,2009-03-24,0.0
sydney,2009-03-25,1.2
sydney,2009-03-26,1.5
sydney,2009-03-27,0.1
sydney,2009-03-28,0.0
sydney,2009-03-29,0.0
sydney,2009-03-30,4.6
sydney,2009-03-31,10.5
sydney,2009-04-01,26.4
sydney,2009-04-02,3.0
sydney,2009-04-03,0.9
sydney,2009-04-04,0.6
sydney,2009-04-05,0.0
sydney,2009-04-06,0.0
sydney,2009-04-07,0.5
sydney,2009-04-08,0.3
sydney,2009-04-09,0.2
sydney,2009-04-10,0.0
sydney,2009-04-11,0.6
sydney,2009-04-12,0.2
sydney,2009-04-13,25.2
sydney,2009-04-14,2.1
sydney,2009-04-15,0.0
sydney,2009-04-16,0.0
sydney,2009-04-17,0.0
sydney,2009-04-18,0.0
sydney,2009-04-19,2.3
sydney,2009-04-20,0.1
sydney,2009-04-21,1.9
sydney,2009-04-22,1.3
sydney,2009-04-23,0.9
sydney,2009-04-24,0.0
sydney,2009-04-25,0.0
sydney,2009-04-26,0.0
sydney,2009-04-27,0.7
sydney,2009-04-28,0.0
sydney,2009-04-29,1.0
sydney,2009-04-30,0.9
sydney,2009-05-01,0.0
sydney,2009-05-02,0.0
sydney,2009-05-03,0.5
sydney,2009-05-04,0.0
sydney,2009-05-05,0.0
sydney,2009-05-06,0.0
sydney,2009-05-07,0.0
sydney,2009-05-08,0.0
sydney,2009-05-09,0.0
sydney,2009-05-10,0.7
sydney,2009-05-11,0.2
sydney,2009-05-12,0.2
sydney,2009-05-13,0.0
sydney,2009-05-14,0.0
sydney,2009-05-15,0.0
sydney,2009-05-16,0.0
sydney,2009-05-17,0.0
sydney,2009-05-18,0.0
sydney,2009-05-19,0.8
sydney,2009-05-20,6.4
sydney,2009-05-21,5.2
sydney,2009-05-22,6.9
sydney,2009-05-23,6.1
sydney,2009-05-24,0.3
sydney,2009-05-25,0.3
sydney,2009-05-26,0.0
sydney,2009-05-27,2.2
sydney,2009-05-28,1.3
sydney,2009-05-29,0.4
sydney,2009-05-30,3.2
